id,date,code_speaker,gender,title_original,title_language,title_english,abstract_original,abstract_language,abstract_english,audience_n,audience_female,audience_male,audience_NA,department,institute,university,country,position,position_cat,origin,total_citation_n,h_index,i10_index,most_cited_n,citation_cum,years_career,nature_index_count,nature_index_share,obs
1,29-04-2008,21,F,Facilitação e competição entre plantas: um estudo experimental em um gradiente de restinga,port,Facilitation and competition among plants: an experimental study in a restinga gradient,NA,NA,NA,9,5,4,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
2,06-05-2008,152,F,Carbono em solos de cerrado: efeitos do uso florestal (cerradão versus plantios de Eucalyptus e Pinus),port,Carbon in cerrado soils: effects of forest use (cerradão versus Eucalyptus and Pinus plantations),NA,NA,NA,18,11,7,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
3,20-05-2008,56,M,Movimentos remanescente-matriz por aves em mosaicos de vegetação: uma revisão,port,Remnant-matrix movements by birds in vegetation mosaics: a review,NA,NA,NA,17,11,6,0,Ecologia,IB,USP,Brasil,postdoc,postdoc,IB,NA,NA,NA,NA,NA,NA,NA,NA,
4,03-06-2008,24,F,Estratégias de acasalamento do opilião Promitobates ornatus: sexo e violência em uma espécie sem cuidado parental,port,Mating strategies of the opilion Promitobates ornatus: sex and violence in a species without parental care,NA,NA,NA,20,11,9,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
5,10-06-2008,219,F,Diversidade e padrões de distribuição da anurofauna do Cerrado,port,Diversity and distribution patterns of Cerrado anurofauna,NA,NA,NA,22,13,9,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
6,24-06-2008,40,F,Movimento de aves de florestas em paisagens fragmentadas: uma abordagem genética e ecológica,port,Movement of forest birds in fragmented landscapes: a genetic and ecological approach,NA,NA,NA,25,15,10,0,Ecologia,IB,USP,Brasil,postdoc,postdoc,IB,NA,NA,NA,NA,NA,NA,NA,NA,
7,12-08-2008,108,M,Ser pai é padecer no paraíso? Vantagens e desvantagens do cuidado parental,port,Is Being a father a sin in paradise? Advantages and Disadvantages of Parental Care,NA,NA,NA,19,12,7,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
8,26-08-2008,216,F,Tempo de latência na resposta de aves e de pequenos mamíferos a mudanças na estrutura de uma paisagem da Mata Atlântica,port,Latency time in the response of birds and small mammals to changes in the structure of an Atlantic Forest landscape,NA,NA,NA,20,11,9,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
9,30-09-2008,269,F,Existe risco de predação para Pyriglena leucoptera em uma matriz aberta de pasto na região de São Paulo?,port,Is there predation risk for Pyriglena leucoptera in an open grassland matrix in the São Paulo region?,NA,NA,NA,11,8,3,0,Ecologia,IB,USP,Brasil,undergrad_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
14,09-10-2008,277,F,Distribuição geográfica de Peponapis (Hymenoptera: Apidae) através de modelagem computacional,port,Geographical distribution of Peponapis (Hymenoptera: Apidae) through computer modeling,NA,NA,NA,10,6,4,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
10,21-10-2008,56,M,Veredas e seu uso por aves no cerrado,port,Veredas and their use by birds in the cerrado,NA,NA,NA,9,5,4,0,Ecologia,IB,USP,Brasil,postdoc,postdoc,IB,NA,NA,NA,NA,NA,NA,NA,NA,
11,04-11-2008,71,F,É possível controlar a invasão de gramíneas exóticas nos cerrados?,port,Is it possible to control the invasion of exotic grasses in the cerrados?,NA,NA,NA,9,7,2,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
12,18-11-2008,268,F,Restauração de processos ecológicos: o uso de redes de interação planta-polinizador como ferramenta de avaliação de áreas florestais restauradas,port,Restoration of ecological processes: the use of plant-pollinator interaction networks as a tool to evaluate restored forest areas,NA,NA,NA,14,11,3,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
13,25-11-2008,104,M,"Conservação da biodiversidade nas ilhas do golfo da Califórnia, México",port,"Biodiversity Conservation in the Gulf of California Islands, Mexico",NA,NA,NA,11,8,3,0,-,-,Cibnor,México,researcher,professor,AmLat,NA,NA,NA,NA,NA,NA,NA,NA,no google scholar profile
32,01-02-2009,13,F,Hábitos alimentares de Pontoporia blainvillei na costa do estado de São Paulo,port,Food habits of Pontoporia blainvillei on the coast of São Paulo state,NA,NA,NA,13,8,5,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
15,10-03-2009,138,F,Leguminosas fixadoras de nitrogênio facilitam o desempenho de juvenis arbóreos em uma floresta de restinga?,port,Do nitrogen-fixing legumes facilitate the performance of juvenile trees in a restinga forest?,NA,NA,NA,10,5,5,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
16,24-03-2009,35,F,"A etnoecologia dos jardins-quintais e seu papel nos sistemas agrícolas tradicionais de populações quilombolas do Vale do Ribeira, São Paulo",port,"The ethno-ecology of gardens-backyards and their role in the traditional farming systems of quilombola populations in Vale do Ribeira, São Paulo",NA,NA,NA,14,11,3,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
17,14-04-2009,4,M,Mecanismos econômicos para conservação de ecossistemas brasileiros,port,Economic Mechanisms for the Conservation of Brazilian Ecosystems,NA,NA,NA,17,11,6,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
18,28-04-2009,164,F,"Memória social e paisagem: o papel da agricultura de coivara na formação de uma área de Mata Atlântica habitata por populações quilombolas no Vale do Ribeira, São Paulo",port,"Social memory and landscape: the role of coivara agriculture in the formation of an Atlantic Forest area inhabited by quilombola populations in Vale do Ribeira, São Paulo",NA,NA,NA,13,8,5,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
19,05-05-2009,182,F,Custos e benefícios associados ao cuidado maternal do opilião Neosadocus maximus,port,Costs and benefits associated with maternal care of the opilion Neosadocus maximus,NA,NA,NA,8,5,3,0,-,IP,USP,Brasil,phd_student,student,Brasil,NA,NA,NA,NA,NA,NA,NA,NA,
20,19-05-2009,99,M,O monitoramento biológico entre a ciência e o manejo,port,Biological monitoring between science and management,NA,NA,NA,36,23,13,0,-,-,STRI,Panamá,postdoc,postdoc,AmLat,NA,NA,NA,NA,NA,NA,NA,NA,
21,02-06-2009,39,F,"Diversidade, endemismo e biogeografia de anfíbios em ilhas do estado de São Paulo",port,"Diversity, endemism and biogeography of amphibians on islands in São Paulo state",NA,NA,NA,14,7,7,0,-,-,UNIFESP-Dia,Brasil,professor,professor,Brasil,890,16,22,190,133,5,22,2.81,
22,16-06-2009,249,M,Avaliação do cuidado paternal e dinâmica de oviposição na barata dágua Abedus breviceps (Hemiptera: Belostomatidae),port,Evaluation of parental care and oviposition dynamics in the water cockroach Abedus breviceps (Hemiptera: Belostomatidae),NA,NA,NA,21,12,9,0,Ecologia,IB,USP,Brasil,postdoc,postdoc,IB,NA,NA,NA,NA,NA,NA,NA,NA,
23,30-06-2009,47,M,"Reconstruindo parentesco e desfazendo preconceitos: filogenia das subfamílias de Gonyleptidae (Arachnida, Opiliones) usando caracteres comportamentais",port,"Reconstructing kinship and dispelling bias: phylogeny of the subfamilies of Gonyleptidae (Arachnida, Opiliones) using behavioral characters",NA,NA,NA,16,7,9,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
24,11-08-2009,124,M,Considerações sobre métodos estatísticos na pesquisa em ecologia,port,Considerations for statistical methods in ecological research,NA,NA,NA,33,16,17,0,-,ESALQ,USP,Brasil,professor,professor,Brasil,2068,22,35,168,640,13,282,53.64,
25,25-08-2009,18,M,Efeitos da regeneração florestal sobre a estrutura da floresta e a disponibilidade de atrópodes e frutos em uma área de Mata Atlântica: implicações para a recuperação da fauna em áreas secundárias,port,Effects of forest regeneration on forest structure and on the availability of atropods and fruits in an area of Atlantic Forest: implications for fauna recovery in secondary areas,NA,NA,NA,22,12,10,0,Zoologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
26,08-09-2009,79,M,Efeitos da fragmentação de habitats na variabilidade genética de populações do marsupial Marmosops incanus,port,Effects of habitat fragmentation on genetic variability in populations of the marsupial Marmosops incanus,NA,NA,NA,13,8,5,0,Zoologia,IB,USP,Brasil,postdoc,postdoc,IB,NA,NA,NA,NA,NA,NA,NA,NA,
27,22-09-2009,181,F,Percepção do risco de predação de Pyriglena leucoptera em diferentes matrizes,port,Perception of predation risk by Pyriglena leucoptera in different matrices,NA,NA,NA,12,6,6,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
28,06-10-2009,23,F,O número de capturas é um bom índice de abundância relativa?,port,Is the number of captures a good index of relative abundance?,NA,NA,NA,21,15,6,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
29,20-10-2009,221,M,A estrutura de redes mutualísticas,port,The structure of mutualistic networks,NA,NA,NA,33,20,13,0,Ecologia,IB,USP,Brasil,professor,professor,IB,10631,55,113,464,527,3,282,53.64,
30,03-11-2009,273,F,"Dinâmica populacional de uma gramínea nativa do cerrado, Echinolaena inflexa, e de uma gramínea invasora, Urochloa decumbens, em diferentes condições de crescimento",port,"Population dynamics of a native cerrado grass, Echinolaena inflexa, and an invasive grass, Urochloa decumbens, under different growing conditions",NA,NA,NA,13,6,7,0,Ecologia,IB,USP,Brasil,master_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
31,17-11-2009,240,M,Ajuste e seleção de modelos de comunidades arbóreas no estado de São Paulo,port,Model adjustment and selection for tree communities in São Paulo state,NA,NA,NA,17,8,9,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
33,02-03-2010,168,M,"Presentes nupciais em aranhas do gênero Paratrechalea (Aranae, Irechaleidade): novos modelos para antigas perguntas",port,"Nuptial gifts in spiders of the genus Paratrechalea (Aranae, Irechalea): new models for old questions",NA,NA,NA,19,10,9,0,Ecologia,IB,USP,Brasil,postdoc,postdoc,IB,NA,NA,NA,NA,NA,NA,NA,NA,
34,16-03-2010,217,F,O fitoplâncton como discriminador ambiental em um reservatório urbano eutrofizado,port,Phytoplankton as environmental discriminator in a eutrophicated urban reservoir,NA,NA,NA,13,7,6,0,Ecologia,IB,USP,Brasil,phd_student,student,IB,NA,NA,NA,NA,NA,NA,NA,NA,
35,23-03-2010,255,M,Mutualismos como fonte de inovação evolutiva,port,Mutualisms as a source of evolutionary innovation,NA,NA,NA,26,15,11,0,-,FFCLRP,USP,Brasil,professor,professor,Brasil,2859,23,57,80,259,7,282,53.64,
